symbol,riscv_status,module,subcategory,priority,root_cause,riscv_supportability,reason,riscv_possible_path,arm64_file,arm64_line,prompt,depends_on,commit_hash,commit_title,commit_url,patch_url
AMPERE_ERRATUM_AC03_CPU_38,ABSENT,RAS/稳定性,CPU勘误与变通,P2,微架构专属勘误,No(同名)/Yes(同类机制),绑定 Arm 核心/SoC 勘误，RISC-V 不适用同名项，但可建立自身勘误框架。,RISC-V vendor errata Kconfig 体系,arch/arm64/Kconfig,454,AmpereOne: AC03_CPU_38: Certain bits in the Virtualization Translation Control Register and Translation Control Registers do not follow RES0 semantics,,6df696cd9bc1ceed0e92e36908f88bbd16d18255,arm64: errata: Mitigate Ampere1 erratum AC03_CPU_38 at stage-2,https://git.kernel.org/torvalds/c/6df696cd9bc1ceed0e92e36908f88bbd16d18255,https://git.kernel.org/torvalds/c/6df696cd9bc1ceed0e92e36908f88bbd16d18255.patch
AMPERE_ERRATUM_AC04_CPU_23,ABSENT,RAS/稳定性,CPU勘误与变通,P2,微架构专属勘误,No(同名)/Yes(同类机制),绑定 Arm 核心/SoC 勘误，RISC-V 不适用同名项，但可建立自身勘误框架。,RISC-V vendor errata Kconfig 体系,arch/arm64/Kconfig,473,AmpereOne: AC04_CPU_23:  Failure to synchronize writes to HCR_EL2 may corrupt address translations.,,fed55f49fad181be9dfb93c06efc4ab2b71a72a9,arm64: errata: Work around AmpereOne's erratum AC04_CPU_23,https://git.kernel.org/torvalds/c/fed55f49fad181be9dfb93c06efc4ab2b71a72a9,https://git.kernel.org/torvalds/c/fed55f49fad181be9dfb93c06efc4ab2b71a72a9.patch
ARCH_ACTIONS,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,4,Actions Semi Platforms,,c88cc3ee1b2045ccff904f1187d62fdc3895a532,arm64: Prepare Actions Semi S900,https://git.kernel.org/torvalds/c/c88cc3ee1b2045ccff904f1187d62fdc3895a532,https://git.kernel.org/torvalds/c/c88cc3ee1b2045ccff904f1187d62fdc3895a532.patch
ARCH_AIROHA,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,11,Airoha SoC Support,,428ae88ef519f2009fac37563de76ffa6f93046f,arm64: add Airoha EN7581 platform,https://git.kernel.org/torvalds/c/428ae88ef519f2009fac37563de76ffa6f93046f,https://git.kernel.org/torvalds/c/428ae88ef519f2009fac37563de76ffa6f93046f.patch
ARCH_ALPINE,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,29,Annapurna Labs Alpine platform,,e2f0abaf45bcdcf4408615d90a58730847304df7,arm64: add Alpine SoC family,https://git.kernel.org/torvalds/c/e2f0abaf45bcdcf4408615d90a58730847304df7,https://git.kernel.org/torvalds/c/e2f0abaf45bcdcf4408615d90a58730847304df7.patch
ARCH_APPLE,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,36,Apple Silicon SoC family,,aea5f69f2e9181054fbcec56870be4143814c69b,arm64: Kconfig: Introduce CONFIG_ARCH_APPLE,https://git.kernel.org/torvalds/c/aea5f69f2e9181054fbcec56870be4143814c69b,https://git.kernel.org/torvalds/c/aea5f69f2e9181054fbcec56870be4143814c69b.patch
ARCH_ARTPEC,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,44,Axis Communications ARTPEC SoC Family,ARCH_EXYNOS,639f8e36baf1c7c6592ef267f696db981c62c2b6,arm64: dts: exynos: axis: Add initial ARTPEC-8 SoC support,https://git.kernel.org/torvalds/c/639f8e36baf1c7c6592ef267f696db981c62c2b6,https://git.kernel.org/torvalds/c/639f8e36baf1c7c6592ef267f696db981c62c2b6.patch
ARCH_AXIADO,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,51,Axiado SoC Family,,729b770bb454b1adf59fdada6c901cd61c413ce6,arm64: add Axiado SoC family,https://git.kernel.org/torvalds/c/729b770bb454b1adf59fdada6c901cd61c413ce6,https://git.kernel.org/torvalds/c/729b770bb454b1adf59fdada6c901cd61c413ce6.patch
ARCH_BCM2835,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,62,Broadcom BCM2835 family,,628d30d1ccb897fee54a6f7312561cf2f6f72f09,arm64: Add platform selection for BCM2835.,https://git.kernel.org/torvalds/c/628d30d1ccb897fee54a6f7312561cf2f6f72f09,https://git.kernel.org/torvalds/c/628d30d1ccb897fee54a6f7312561cf2f6f72f09.patch
ARCH_BCMBCA,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,84,Broadcom Broadband Carrier Access (BCA) origin SoC,,fdcd652ce2b6b819f5c4dc3cead5215c84ee6933,arm64: bcmbca: add arch bcmbca machine entry,https://git.kernel.org/torvalds/c/fdcd652ce2b6b819f5c4dc3cead5215c84ee6933,https://git.kernel.org/torvalds/c/fdcd652ce2b6b819f5c4dc3cead5215c84ee6933.patch
ARCH_BCM,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,57,Broadcom SoC Support,,96796c914b841a7658e9617b1325175b4d02c574,arm64: Kconfig.platforms: Re-organized Broadcom menu,https://git.kernel.org/torvalds/c/96796c914b841a7658e9617b1325175b4d02c574,https://git.kernel.org/torvalds/c/96796c914b841a7658e9617b1325175b4d02c574.patch
ARCH_BCM_IPROC,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,76,Broadcom iProc SoC Family,,36b7c5831d7d5af6fc679f95b288ddf480e01e77,arm64: Add Broadcom iProc family support,https://git.kernel.org/torvalds/c/36b7c5831d7d5af6fc679f95b288ddf480e01e77,https://git.kernel.org/torvalds/c/36b7c5831d7d5af6fc679f95b288ddf480e01e77.patch
ARCH_BERLIN,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,104,Marvell Berlin SoC Family,,dd40fd9245fdb5a69b301e358df0b231d2db1db0,arm64: Enable Marvell Berlin SoC family in Kconfig,https://git.kernel.org/torvalds/c/dd40fd9245fdb5a69b301e358df0b231d2db1db0,https://git.kernel.org/torvalds/c/dd40fd9245fdb5a69b301e358df0b231d2db1db0.patch
ARCH_BITMAIN,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,113,Bitmain SoC Platforms,,ea367d3846d8c3d7bf7377a896bbc2809fc8d0ca,arm64: Add ARCH_BITMAIN platform,https://git.kernel.org/torvalds/c/ea367d3846d8c3d7bf7377a896bbc2809fc8d0ca,https://git.kernel.org/torvalds/c/ea367d3846d8c3d7bf7377a896bbc2809fc8d0ca.patch
ARCH_BLAIZE,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,118,Blaize SoC Platforms,,c0b454a517553849093af19733489e1c57236905,arm64: Add Blaize BLZP1600 SoC family,https://git.kernel.org/torvalds/c/c0b454a517553849093af19733489e1c57236905,https://git.kernel.org/torvalds/c/c0b454a517553849093af19733489e1c57236905.patch
ARCH_BRCMSTB,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,94,Broadcom Set-Top-Box SoCs,,37eb56dc79a8e841f3801f9364de8a70189c306f,arm64: Add Broadcom Set Top Box Kconfig entry point,https://git.kernel.org/torvalds/c/37eb56dc79a8e841f3801f9364de8a70189c306f,https://git.kernel.org/torvalds/c/37eb56dc79a8e841f3801f9364de8a70189c306f.patch
ARCH_BST,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,123,Black Sesame Technologies SoC Family,,154121941643395be89fc051628e83ad746330d5,arm64: Kconfig: add ARCH_BST for Black Sesame Technologies SoCs,https://git.kernel.org/torvalds/c/154121941643395be89fc051628e83ad746330d5,https://git.kernel.org/torvalds/c/154121941643395be89fc051628e83ad746330d5.patch
ARCH_CIX,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,131,Cixtech SoC family,,aa4bc2850e671cc71081f637dd6db1faca8adac7,arm64: Kconfig: add ARCH_CIX for cix silicons,https://git.kernel.org/torvalds/c/aa4bc2850e671cc71081f637dd6db1faca8adac7,https://git.kernel.org/torvalds/c/aa4bc2850e671cc71081f637dd6db1faca8adac7.patch
ARCH_DEFAULT_KEXEC_IMAGE_VERIFY_SIG,ABSENT,启动/固件,kexec与镜像验证,P1,启动链差异,Partial,arm64 在该版本启用了 kexec 镜像签名/交接能力开关，RISC-V 需在自身引导链实现对应能力。,RISC-V kexec + 签名校验链路,arch/arm64/Kconfig,1618,,,91506f7e5d2142130f7407fca42c7a44a77eedfa,arm64/kexec: refactor for kernel/Kconfig.kexec,https://git.kernel.org/torvalds/c/91506f7e5d2142130f7407fca42c7a44a77eedfa,https://git.kernel.org/torvalds/c/91506f7e5d2142130f7407fca42c7a44a77eedfa.patch
ARCH_EXYNOS,ABSENT,平台/SoC,SoC平台选择,P2,厂商平台绑定,Partial,arm64 SoC 平台开关，RISC-V 应在自身平台目录定义对应项而非复用。,新增/完善 RISC-V SoC 平台 Kconfig,arch/arm64/Kconfig.platforms,137,Samsung Exynos SoC family,,eed6b3eb20b97beff66ca59bb610ac73532278ee,arm64: Split out platform options to separate Kconfig,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee,https://git.kernel.org/torvalds/c/eed6b3eb20b97beff66ca59bb610ac73532278ee.patch
ARCH_FORCE_MAX_ORDER,ABSENT,内存/MMU,页分配阶数,P0,内存子系统策略差异,Partial,该项用于架构覆盖 buddy 最大阶设置。RISC-V 可按平台内存布局选择是否引入。,mm page allocator 架构策略评估,arch/arm64/Kconfig,1660,,,0192445cb2f7ed1cd7a95a0fc8c7645480baba25,arch: mm: rename FORCE_MAX_ZONEORDER to ARCH_FORCE_MAX_ORDER,https://git.kernel.org/torvalds/c/0192445cb2f7ed1cd7a95a0fc8c7645480baba25,https://git.kernel.org/torvalds/c/0192445cb2f7ed1cd7a95a0fc8c7645480baba25.patch
