symbol,file,line,type,prompt,depends_on,selects,implies,default
ARM64,arch/arm64/Kconfig,2,,,,ACPI_APMT if ACPI ; ACPI_CCA_REQUIRED if ACPI ; ACPI_GENERIC_GSI if ACPI ; ACPI_GTDT if ACPI ; ACPI_HOTPLUG_CPU if ACPI_PROCESSOR && HOTPLUG_CPU ; ACPI_IORT if ACPI ; ACPI_REDUCED_HARDWARE_ONLY if ACPI ; ACPI_MCFG if (ACPI && PCI) ; ACPI_SPCR_TABLE if ACPI ; ACPI_PPTT if ACPI ; ARCH_HAS_DEBUG_WX ; ARCH_BINFMT_ELF_EXTRA_PHDRS ; ARCH_BINFMT_ELF_STATE ; ARCH_ENABLE_HUGEPAGE_MIGRATION if HUGETLB_PAGE && MIGRATION ; ARCH_ENABLE_MEMORY_HOTPLUG ; ARCH_ENABLE_MEMORY_HOTREMOVE ; ARCH_ENABLE_SPLIT_PMD_PTLOCK if PGTABLE_LEVELS > 2 ; ARCH_ENABLE_THP_MIGRATION if TRANSPARENT_HUGEPAGE ; ARCH_HAS_CACHE_LINE_SIZE ; ARCH_HAS_CC_PLATFORM ; ARCH_HAS_CPU_CACHE_INVALIDATE_MEMREGION ; ARCH_HAS_CURRENT_STACK_POINTER ; ARCH_HAS_DEBUG_VIRTUAL ; ARCH_HAS_DEBUG_VM_PGTABLE ; ARCH_HAS_DMA_OPS if XEN ; ARCH_HAS_DMA_PREP_COHERENT ; ARCH_HAS_ACPI_TABLE_UPGRADE if ACPI ; ARCH_HAS_FAST_MULTIPLIER ; ARCH_HAS_FORTIFY_SOURCE ; ARCH_HAS_GCOV_PROFILE_ALL ; ARCH_HAS_GIGANTIC_PAGE ; ARCH_HAS_KCOV ; ARCH_HAS_KERNEL_FPU_SUPPORT if KERNEL_MODE_NEON ; ARCH_HAS_KEEPINITRD ; ARCH_HAS_LAZY_MMU_MODE ; ARCH_HAS_MEMBARRIER_SYNC_CORE ; ARCH_HAS_MEM_ENCRYPT ; ARCH_SUPPORTS_MSEAL_SYSTEM_MAPPINGS ; ARCH_HAS_NMI_SAFE_THIS_CPU_OPS ; ARCH_HAS_NON_OVERLAPPING_ADDRESS_SPACE ; ARCH_HAS_NONLEAF_PMD_YOUNG if ARM64_HAFT ; ARCH_HAS_PREEMPT_LAZY ; ARCH_HAS_PTDUMP ; ARCH_HAS_PTE_SPECIAL ; ARCH_HAS_HW_PTE_YOUNG ; ARCH_HAS_SETUP_DMA_OPS ; ARCH_HAS_SET_DIRECT_MAP ; ARCH_HAS_SET_MEMORY ; ARCH_HAS_FORCE_DMA_UNENCRYPTED ; ARCH_STACKWALK ; ARCH_HAS_STRICT_KERNEL_RWX ; ARCH_HAS_STRICT_MODULE_RWX ; ARCH_HAS_SYNC_DMA_FOR_DEVICE ; ARCH_HAS_SYNC_DMA_FOR_CPU ; ARCH_HAS_SYSCALL_WRAPPER ; ARCH_HAS_TICK_BROADCAST if GENERIC_CLOCKEVENTS_BROADCAST ; ARCH_HAS_ZONE_DMA_SET if EXPERT ; ARCH_HAVE_ELF_PROT ; ARCH_HAVE_NMI_SAFE_CMPXCHG ; ARCH_HAVE_TRACE_MMIO_ACCESS ; ARCH_INLINE_READ_LOCK if !PREEMPTION ; ARCH_INLINE_READ_LOCK_BH if !PREEMPTION ; ARCH_INLINE_READ_LOCK_IRQ if !PREEMPTION ; ARCH_INLINE_READ_LOCK_IRQSAVE if !PREEMPTION ; ARCH_INLINE_READ_UNLOCK if !PREEMPTION ; ARCH_INLINE_READ_UNLOCK_BH if !PREEMPTION ; ARCH_INLINE_READ_UNLOCK_IRQ if !PREEMPTION ; ARCH_INLINE_READ_UNLOCK_IRQRESTORE if !PREEMPTION ; ARCH_INLINE_WRITE_LOCK if !PREEMPTION ; ARCH_INLINE_WRITE_LOCK_BH if !PREEMPTION ; ARCH_INLINE_WRITE_LOCK_IRQ if !PREEMPTION ; ARCH_INLINE_WRITE_LOCK_IRQSAVE if !PREEMPTION ; ARCH_INLINE_WRITE_UNLOCK if !PREEMPTION ; ARCH_INLINE_WRITE_UNLOCK_BH if !PREEMPTION ; ARCH_INLINE_WRITE_UNLOCK_IRQ if !PREEMPTION ; ARCH_INLINE_WRITE_UNLOCK_IRQRESTORE if !PREEMPTION ; ARCH_INLINE_SPIN_TRYLOCK if !PREEMPTION ; ARCH_INLINE_SPIN_TRYLOCK_BH if !PREEMPTION ; ARCH_INLINE_SPIN_LOCK if !PREEMPTION ; ARCH_INLINE_SPIN_LOCK_BH if !PREEMPTION ; ARCH_INLINE_SPIN_LOCK_IRQ if !PREEMPTION ; ARCH_INLINE_SPIN_LOCK_IRQSAVE if !PREEMPTION ; ARCH_INLINE_SPIN_UNLOCK if !PREEMPTION ; ARCH_INLINE_SPIN_UNLOCK_BH if !PREEMPTION ; ARCH_INLINE_SPIN_UNLOCK_IRQ if !PREEMPTION ; ARCH_INLINE_SPIN_UNLOCK_IRQRESTORE if !PREEMPTION ; ARCH_KEEP_MEMBLOCK ; ARCH_MHP_MEMMAP_ON_MEMORY_ENABLE ; ARCH_USE_CMPXCHG_LOCKREF ; ARCH_USE_GNU_PROPERTY ; ARCH_USE_MEMTEST ; ARCH_USE_QUEUED_RWLOCKS ; ARCH_USE_QUEUED_SPINLOCKS ; ARCH_USE_SYM_ANNOTATIONS ; ARCH_SUPPORTS_DEBUG_PAGEALLOC ; ARCH_SUPPORTS_HUGETLBFS ; ARCH_SUPPORTS_MEMORY_FAILURE ; ARCH_SUPPORTS_SHADOW_CALL_STACK if CC_HAVE_SHADOW_CALL_STACK ; ARCH_SUPPORTS_LTO_CLANG if CPU_LITTLE_ENDIAN ; ARCH_SUPPORTS_LTO_CLANG_THIN ; ARCH_SUPPORTS_CFI ; ARCH_SUPPORTS_ATOMIC_RMW ; ARCH_SUPPORTS_INT128 if CC_HAS_INT128 ; ARCH_SUPPORTS_NUMA_BALANCING ; ARCH_SUPPORTS_PAGE_TABLE_CHECK ; ARCH_SUPPORTS_PER_VMA_LOCK ; ARCH_SUPPORTS_HUGE_PFNMAP if TRANSPARENT_HUGEPAGE ; ARCH_SUPPORTS_RT ; ARCH_SUPPORTS_SCHED_SMT ; ARCH_SUPPORTS_SCHED_CLUSTER ; ARCH_SUPPORTS_SCHED_MC ; ARCH_WANT_BATCHED_UNMAP_TLB_FLUSH ; ARCH_WANT_COMPAT_IPC_PARSE_VERSION if COMPAT ; ARCH_WANT_DEFAULT_BPF_JIT ; ARCH_WANT_DEFAULT_TOPDOWN_MMAP_LAYOUT ; ARCH_WANT_FRAME_POINTERS ; ARCH_WANT_HUGE_PMD_SHARE if ARM64_4K_PAGES || (ARM64_16K_PAGES && !ARM64_VA_BITS_36) ; ARCH_WANT_LD_ORPHAN_WARN ; ARCH_WANTS_EXECMEM_LATE ; ARCH_WANTS_NO_INSTR ; ARCH_WANTS_THP_SWAP if ARM64_4K_PAGES ; ARCH_HAS_UBSAN ; ARM_AMBA ; ARM_ARCH_TIMER ; ARM_GIC ; AUDIT_ARCH_COMPAT_GENERIC ; ARM_GIC_V2M if PCI ; ARM_GIC_V3 ; ARM_GIC_V3_ITS if PCI ; ARM_GIC_V5 ; ARM_PSCI_FW ; BUILDTIME_TABLE_SORT ; CLONE_BACKWARDS ; COMMON_CLK ; CPU_PM if (SUSPEND || CPU_IDLE) ; CPUMASK_OFFSTACK if NR_CPUS > 256 ; DCACHE_WORD_ACCESS ; HAVE_EXTRA_IPI_TRACEPOINTS ; DYNAMIC_FTRACE if FUNCTION_TRACER ; DMA_BOUNCE_UNALIGNED_KMALLOC ; DMA_DIRECT_REMAP ; EDAC_SUPPORT ; FRAME_POINTER ; FUNCTION_ALIGNMENT_4B ; FUNCTION_ALIGNMENT_8B if DYNAMIC_FTRACE_WITH_CALL_OPS ; GENERIC_ALLOCATOR ; GENERIC_ARCH_TOPOLOGY ; GENERIC_CLOCKEVENTS_BROADCAST ; GENERIC_CPU_AUTOPROBE ; GENERIC_CPU_CACHE_MAINTENANCE ; GENERIC_CPU_DEVICES ; GENERIC_CPU_VULNERABILITIES ; GENERIC_EARLY_IOREMAP ; GENERIC_IDLE_POLL_SETUP ; GENERIC_IOREMAP ; GENERIC_IRQ_ENTRY ; GENERIC_IRQ_IPI ; GENERIC_IRQ_KEXEC_CLEAR_VM_FORWARD ; GENERIC_IRQ_PROBE ; GENERIC_IRQ_SHOW ; GENERIC_IRQ_SHOW_LEVEL ; GENERIC_LIB_DEVMEM_IS_ALLOWED ; GENERIC_PCI_IOMAP ; GENERIC_SCHED_CLOCK ; GENERIC_SMP_IDLE_THREAD ; GENERIC_TIME_VSYSCALL ; GENERIC_GETTIMEOFDAY ; HARDIRQS_SW_RESEND ; HAS_IOPORT ; HAVE_MOVE_PMD ; HAVE_MOVE_PUD ; HAVE_PCI ; HAVE_ACPI_APEI if (ACPI && EFI) ; HAVE_ALIGNED_STRUCT_PAGE ; HAVE_ARCH_AUDITSYSCALL ; HAVE_ARCH_BITREVERSE ; HAVE_ARCH_COMPILER_H ; HAVE_ARCH_HUGE_VMALLOC ; HAVE_ARCH_HUGE_VMAP ; HAVE_ARCH_JUMP_LABEL ; HAVE_ARCH_JUMP_LABEL_RELATIVE ; HAVE_ARCH_KASAN ; HAVE_ARCH_KASAN_VMALLOC ; HAVE_ARCH_KASAN_SW_TAGS ; HAVE_ARCH_KASAN_HW_TAGS if ARM64_MTE ; HAVE_ARCH_KCSAN if EXPERT ; HAVE_ARCH_KFENCE ; HAVE_ARCH_KGDB ; HAVE_ARCH_KSTACK_ERASE ; HAVE_ARCH_MMAP_RND_BITS ; HAVE_ARCH_MMAP_RND_COMPAT_BITS if COMPAT ; HAVE_ARCH_PREL32_RELOCATIONS ; HAVE_ARCH_RANDOMIZE_KSTACK_OFFSET ; HAVE_ARCH_SECCOMP_FILTER ; HAVE_ARCH_THREAD_STRUCT_WHITELIST ; HAVE_ARCH_TRACEHOOK ; HAVE_ARCH_TRANSPARENT_HUGEPAGE ; HAVE_ARCH_VMAP_STACK ; HAVE_ARM_SMCCC ; HAVE_ASM_MODVERSIONS ; HAVE_EBPF_JIT ; HAVE_C_RECORDMCOUNT ; HAVE_CMPXCHG_DOUBLE ; HAVE_CMPXCHG_LOCAL ; HAVE_CONTEXT_TRACKING_USER ; HAVE_DEBUG_KMEMLEAK ; HAVE_DMA_CONTIGUOUS ; HAVE_DYNAMIC_FTRACE ; HAVE_DYNAMIC_FTRACE_WITH_ARGS \ ; HAVE_DYNAMIC_FTRACE_WITH_DIRECT_CALLS \ ; HAVE_DYNAMIC_FTRACE_WITH_CALL_OPS \ ; FTRACE_MCOUNT_USE_PATCHABLE_FUNCTION_ENTRY \ ; HAVE_SAMPLE_FTRACE_DIRECT ; HAVE_SAMPLE_FTRACE_DIRECT_MULTI ; HAVE_BUILDTIME_MCOUNT_SORT ; HAVE_EFFICIENT_UNALIGNED_ACCESS ; HAVE_GUP_FAST ; HAVE_FTRACE_GRAPH_FUNC ; HAVE_FUNCTION_TRACER ; HAVE_FUNCTION_ERROR_INJECTION ; HAVE_FUNCTION_GRAPH_FREGS ; HAVE_FUNCTION_GRAPH_TRACER ; HAVE_GCC_PLUGINS ; HAVE_HARDLOCKUP_DETECTOR_PERF if PERF_EVENTS && \ ; HAVE_HW_BREAKPOINT if PERF_EVENTS ; HAVE_IOREMAP_PROT ; HAVE_IRQ_TIME_ACCOUNTING ; HAVE_LIVEPATCH ; HAVE_MOD_ARCH_SPECIFIC ; HAVE_NMI ; HAVE_PERF_EVENTS ; HAVE_PERF_EVENTS_NMI if ARM64_PSEUDO_NMI ; HAVE_PERF_REGS ; HAVE_PERF_USER_STACK_DUMP ; HAVE_PREEMPT_DYNAMIC_KEY ; HAVE_REGS_AND_STACK_ACCESS_API ; HAVE_RELIABLE_STACKTRACE ; HAVE_POSIX_CPU_TIMERS_TASK_WORK ; HAVE_FUNCTION_ARG_ACCESS_API ; MMU_GATHER_RCU_TABLE_FREE ; HAVE_RSEQ ; HAVE_RUST if RUSTC_SUPPORTS_ARM64 ; HAVE_STACKPROTECTOR ; HAVE_SYSCALL_TRACEPOINTS ; HAVE_KPROBES ; HAVE_KRETPROBES ; HAVE_GENERIC_VDSO ; HOTPLUG_CORE_SYNC_DEAD if HOTPLUG_CPU ; HOTPLUG_SMT if HOTPLUG_CPU ; IRQ_DOMAIN ; IRQ_FORCED_THREADING ; JUMP_LABEL ; KASAN_VMALLOC if KASAN ; LOCK_MM_AND_FIND_VMA ; MODULES_USE_ELF_RELA ; NEED_DMA_MAP_STATE ; NEED_SG_DMA_LENGTH ; OF ; OF_EARLY_FLATTREE ; PCI_DOMAINS_GENERIC if PCI ; PCI_ECAM if (ACPI && PCI) ; PCI_SYSCALL if PCI ; POWER_RESET ; POWER_SUPPLY ; SPARSE_IRQ ; SWIOTLB ; SYSCTL_EXCEPTION_TRACE ; THREAD_INFO_IN_TASK ; HAVE_ARCH_USERFAULTFD_MINOR if USERFAULTFD ; HAVE_ARCH_USERFAULTFD_WP if USERFAULTFD ; TRACE_IRQFLAGS_SUPPORT ; TRACE_IRQFLAGS_NMI_SUPPORT ; HAVE_SOFTIRQ_ON_OWN_STACK ; USER_STACKTRACE_SUPPORT ; VDSO_GETRANDOM ; VMAP_STACK,,
RUSTC_SUPPORTS_ARM64,arch/arm64/Kconfig,291,,,CPU_LITTLE_ENDIAN && !SHADOW_CALL_STACK || RUSTC_VERSION >= 108200 || RUSTC_VERSION >= 108000 && UNWIND_PATCH_PAC_INTO_SCS,,,
CLANG_SUPPORTS_DYNAMIC_FTRACE_WITH_ARGS,arch/arm64/Kconfig,303,,,AS_IS_GNU || (AS_IS_LLVM && (LD_IS_LLD || LD_VERSION >= 23600)),,,
GCC_SUPPORTS_DYNAMIC_FTRACE_WITH_ARGS,arch/arm64/Kconfig,308,,,"$(cc-option,-fpatchable-function-entry=2)",,,
64BIT,arch/arm64/Kconfig,312,,,,,,
MMU,arch/arm64/Kconfig,315,,,,,,
ARM64_CONT_PTE_SHIFT,arch/arm64/Kconfig,318,int,,,,,5 if PAGE_SIZE_64KB ; 7 if PAGE_SIZE_16KB ; 4
ARM64_CONT_PMD_SHIFT,arch/arm64/Kconfig,324,int,,,,,5 if PAGE_SIZE_64KB ; 5 if PAGE_SIZE_16KB ; 4
ARCH_MMAP_RND_BITS_MIN,arch/arm64/Kconfig,330,,,,,,14 if PAGE_SIZE_64KB ; 16 if PAGE_SIZE_16KB ; 18
ARCH_MMAP_RND_BITS_MAX,arch/arm64/Kconfig,337,,,,,,19 if ARM64_VA_BITS=36 ; 24 if ARM64_VA_BITS=39 ; 27 if ARM64_VA_BITS=42 ; 30 if ARM64_VA_BITS=47 ; 29 if (ARM64_VA_BITS=48 || ARM64_VA_BITS=52) && ARM64_64K_PAGES ; 31 if (ARM64_VA_BITS=48 || ARM64_VA_BITS=52) && ARM64_16K_PAGES ; 33 if (ARM64_VA_BITS=48 || ARM64_VA_BITS=52) ; 14 if ARM64_64K_PAGES ; 16 if ARM64_16K_PAGES ; 18
